9.387240 9.425286 9.385561 9.385561 
9.427106 9.461231 9.425286 9.425286 
9.463451 9.499406 9.461231 9.461231 
9.501839 9.538107 9.499406 9.499406 
9.540680 9.573611 9.538107 9.538107 
9.576446 9.611376 9.573611 9.573611 
9.614842 9.649412 9.611376 9.611376 
9.653567 9.683355 9.649412 9.649412 
9.689410 9.716305 9.683355 9.683355 
9.723959 9.751222 9.716305 9.716305 
9.766397 9.789866 9.751386 9.753254 
9.793045 9.825028 9.791612 9.818359 
9.828387 9.860943 9.825037 9.825053 
9.865457 9.899728 9.860943 9.860943 
9.905768 9.938773 9.899728 9.899728 
9.947222 9.978401 9.938773 9.938773 
9.992694 10.014341 9.978521 9.979097 
10.050385 10.053655 10.017908 10.050113 
10.060354 10.089766 10.054071 10.053888 
10.098295 10.123783 10.089767 10.089768 
10.134661 10.151809 10.124079 10.123843 
10.164144 10.189541 10.158248 10.152749 
10.219947 10.219670 10.224957 10.192366 
10.234118 10.229126 10.231591 10.227529 
10.267697 10.234442 10.239147 10.239147 
10.267697 10.268353 10.268333 10.268014 
10.268353 10.268353 10.268353 10.268353 
10.268353 10.268353 10.268353 10.268353 
10.268353 10.268353 10.268353 10.268353 
10.268353 10.268353 10.268353 10.268353 
10.268353 10.268353 10.268353 10.268353 
10.281816 10.269082 10.278590 10.268642 
10.320724 10.284264 10.282036 10.281922 
10.360218 10.323580 10.320752 10.320737 
10.384425 10.363755 10.360218 10.360220 
10.416716 10.392341 10.384456 10.384615 
10.456335 10.426080 10.417078 10.419637 
10.488197 10.472501 10.457622 10.472265 
10.489880 10.519808 10.490298 10.526274 
10.528322 10.559648 10.527017 10.536215 
10.560277 10.560939 10.560726 10.566748 
10.567351 10.569792 10.566748 10.566748 
10.573077 10.595025 10.569792 10.569792 
10.600249 10.620097 10.595025 10.595025 
10.625504 10.642348 10.620097 10.620097 
10.658921 10.673231 10.642348 10.642348 
10.704973 10.677017 10.673231 10.673231 
10.741459 10.710437 10.704973 10.704973 
10.773275 10.749497 10.741626 10.741475 
10.808416 10.791677 10.788599 10.774115 
10.842828 10.809971 10.816838 10.809114 
10.876834 10.844589 10.842834 10.842831 
10.911575 10.878916 10.876834 10.876834 
10.944063 10.913675 10.911575 10.911575 
10.973844 10.946466 10.944063 10.944063 
11.004182 10.976768 10.973844 10.973844 
11.038116 11.008400 11.004182 11.004182 
11.070436 11.043682 11.038116 11.038116 
11.098921 11.077457 11.070439 11.070437 
11.125083 11.110692 11.103968 11.099754 
11.159246 11.128699 11.147224 11.127665 
11.192139 11.163473 11.159268 11.159257 
11.225296 11.197283 11.192139 11.192139 
11.260661 11.233489 11.225296 11.225298 
11.294042 11.273608 11.261186 11.263676 
11.296939 11.324912 11.297767 11.325360 
11.330852 11.357039 11.325445 11.325547 
11.364342 11.392187 11.357039 11.357039 
11.404799 11.426543 11.392263 11.393820 
11.460267 11.458816 11.431283 11.461714 
11.466909 11.494858 11.461799 11.462332 
11.503544 11.524664 11.494858 11.494861 
11.539702 11.556987 11.534028 11.525164 
11.558426 11.588369 11.586212 11.558008 
11.590169 11.620457 11.588429 11.588396 
11.622201 11.652739 11.620457 11.620457 
11.654989 11.687619 11.652739 11.652739 
11.690055 11.726190 11.687619 11.687619 
11.728879 11.763070 11.726190 11.726190 
11.766178 11.797499 11.763070 11.763070 
11.801733 11.836366 11.797499 11.797499 
11.841947 11.873067 11.836366 11.836366 
11.881533 11.910262 11.873067 11.873068 
11.923378 11.945980 11.910781 11.912536 
11.951163 11.979646 11.976390 11.947253 
12.003247 11.980464 11.980013 11.980257 
12.029859 12.004824 12.003247 12.003247 
12.059732 12.031191 12.029859 12.029859 
12.089605 12.061427 12.059732 12.059732 
12.123253 12.091322 12.089605 12.089605 
12.158430 12.125309 12.123253 12.123253 
12.191828 12.160764 12.158430 12.158430 
12.224330 12.194291 12.191828 12.191828 
12.253974 12.227427 12.224330 12.224330 
12.289719 12.257217 12.253974 12.253974 
12.323972 12.293435 12.289719 12.289719 
12.358763 12.329197 12.323973 12.323972 
12.390092 12.366411 12.358793 12.358771 
12.423003 12.400372 12.390679 12.390163 
12.437232 12.448849 12.449815 12.425085 
12.478142 12.452434 12.455706 12.450456 
12.511893 12.481353 12.478145 12.478146 
12.543254 12.515624 12.511893 12.511893 
12.570948 12.548248 12.543254 12.543254 
12.600500 12.577121 12.570950 12.570961 12.570960 12.570950 
12.630722 12.612538 12.600791 12.602924 12.603043 12.600836 
12.632898 12.655620 12.658407 12.632851 
12.694637 12.661774 12.659051 12.658714 
12.727008 12.698644 12.694638 12.694637 
12.760507 12.733239 12.727008 12.727008 
12.797850 12.767845 12.760511 12.760508 
12.830668 12.810514 12.801652 12.798078 
12.863780 12.832000 12.860388 12.833823 
12.897883 12.865028 12.863874 12.863849 
12.934909 12.899358 12.897883 12.897883 
12.967813 12.936534 12.934909 12.934909 
12.999950 12.969320 12.967813 12.967813 
13.031350 13.001790 12.999950 12.999950 
13.069407 13.033314 13.031350 13.031350 
13.105564 13.071629 13.069407 13.069407 
13.142695 13.108311 13.105564 13.105564 
13.179433 13.145539 13.142695 13.142695 
13.213553 13.182976 13.179433 13.179433 
13.246521 13.218498 13.213553 13.213553 
13.284955 13.252039 13.246521 13.246521 
13.319625 13.292326 13.284955 13.284955 
13.354604 13.330889 13.319850 13.321362 
13.381234 13.382080 13.356555 13.382078 
13.415596 13.396505 13.393490 13.382629 
13.416508 13.452789 13.444791 13.417209 
13.453780 13.488523 13.452862 13.452838 
13.489679 13.521445 13.488523 13.488523 
